No. of pkts,No. of Bytes,Iat,Duration,Label
11,2225,1.5796,38.217396,normal
4,912,0.013604,0.378398,normal
3,669,0.246006,0.247459,normal
4,1670,0.34724,11.125327,normal
2,533,0.000297,0.000297,normal
4,967,0.280865,0.585338,normal
5,1741,0.282794,21.350384,normal
6,2289,0.001339,0.06554,normal
3,832,0.303959,0.304052,normal
4,914,0.29093,1.257651,normal
18,6801,0.799289,41.660947,normal
6,2585,0.190918,3.690597,normal
3,722,0.232578,0.237095,normal
2,382,0.373592,0.373592,normal
2,775,8.646122,8.646122,normal
3,815,0.314569,0.61098,normal
26,4767,0.134916,28.342863,normal
8,1466,0.006769,0.55656,normal
2,215,0.159152,0.159152,normal
6,1240,0.413136,10.846381,normal
2,138,8.771636,8.771636,normal
16,2660,0.099055,3.465706,normal
12,1519,0.006106,2.488206,normal
5,883,1.243901,11.615945,normal
3,1740,0.233315,0.441977,normal
4,2311,13.903909,46.829585,normal
3,1203,0.326133,0.585547,normal
3,1194,0.188648,0.358739,normal
2,633,0.141851,0.141851,normal
3,959,0.78584,1.096237,normal
13,2455,0.001993,1.014477,normal
4,2068,0.025007,0.353746,normal
6,1930,0.173273,21.961856,normal
11,1513,0.159695,4.72934,normal
7,1723,0.153824,1.790637,normal
45,23245,0.00048,4.051708,normal
5,1214,0.001045,2.233546,normal
4,810,0.288701,17.192778,normal
10,2474,1.515469,10.709941,normal
3,763,37.52492,40.759824,normal
14,5790,0.278833,18.394607,normal
8,1172,0.325448,13.907905,normal
3,1059,0.290609,0.520471,normal
4,1065,2.984391,12.320653,normal
4,932,0.413966,36.911134,normal
3,891,0.306467,0.530885,normal
5,856,0.004114,0.197298,normal
3,791,0.210557,0.230897,normal
5,2114,0.221372,0.468447,normal
6,1589,0.085729,0.291283,normal
8,1000,0.032626,0.640263,normal
3,885,0.492683,0.916863,normal
4,1233,0.311406,2.096545,normal
2,54,0.004445,0.004445,normal
7,1447,0.036284,0.629638,normal
8,1718,0.001783,45.585356,normal
5,2443,0.263052,1.155474,normal
56,18643,0.00798,8.408728,normal
8,3425,0.000228,9.006,normal
12,2877,0.00479,6.542686,normal
24,6142,0.004968,14.109229,normal
47,20205,0.011607,10.658028,normal
2,129,6.414547,6.414547,normal
4,1454,0.185483,0.508335,normal
5,217,0.532658,6.182693,normal
52,10100,0.074914,32.268594,normal
4,48,1.000089,3.000275,normal
5,1570,0.214622,0.866984,normal
2,54,0.000496,0.000496,normal
5,217,0.143852,0.517895,normal
2,85,0.195702,0.195702,normal
5,217,0.075391,1.014102,normal
2,111,4.248875,4.248875,normal
10,1585,0.004441,0.406159,normal
2,1614,6.550701,6.550701,normal
23,17924,0.129728,16.824225,normal
4,2969,0.000441,9.731555,normal
2,121,0.266377,0.266377,normal
2,331,0.42107,0.42107,normal
2,849,0.001831,0.001831,normal
3,376,0.990198,1.403765,normal
2,1538,1.562841,1.562841,normal
3,1150,8.66547,9.56313,normal
2,983,5.034203,5.034203,normal
23,22749,0.417263,41.007067,normal
193,160794,0.141422,46.994641,normal
81,35588,0.008815,39.013092,normal
6,4508,0.000629,0.182173,normal
3,376,0.393714,0.780532,normal
2,718,0.623354,0.623354,normal
7,3771,0.038297,1.182155,normal
1824,1986854,0.001358,47.885606,normal
22,13714,0.001197,13.696615,normal
5,517,1.487061,3.256714,normal
3,1130,0.023913,0.030948,normal
2,331,0.445788,0.445788,normal
3,593,1.900063,1.901537,normal
2,1513,1.254772,1.254772,normal
3,1264,1.729765,2.362112,normal
11,4745,0.004878,0.570548,normal
14,13052,0.045958,40.602512,normal
24,18762,0.156391,12.984682,normal
13,14930,0.373038,23.648877,normal
54,26811,0.305494,46.571481,normal
29,22400,0.005047,47.305031,normal
3,684,0.095999,0.168004,normal
5,2612,8.146124,18.343579,normal
5,1155,0.009929,24.899365,normal
2,46,45.261567,45.261567,normal
4,1539,0.515095,2.587697,normal
2,692,5.834689,5.834689,normal
7,3306,0.793597,2.838463,normal
4,3320,0.013802,0.123588,normal
7,3444,0.014781,1.871952,normal
3,1085,0.001752,0.002817,normal
3,3595,0.472549,0.794792,normal
2,494,0.001874,0.001874,normal
16,11844,0.101398,30.426586,normal
7,3594,0.114854,2.185974,normal
5,2246,0.096933,0.411542,normal
6,1984,0.019725,0.307586,normal
22,5803,0.02794,2.696346,normal
3,1553,0.31638,0.316381,normal
13,6584,0.003071,34.916066,normal
5,1967,14.792017,40.531562,normal
5,2892,0.359738,1.644395,normal
20,5807,0.001151,2.87766,normal
9,5702,0.68829,20.107263,normal
15,9624,0.254713,17.962541,normal
8,3677,0.565497,28.731066,normal
6,2175,0.250776,34.700996,normal
2,805,5.00462,5.00462,normal
9,4588,0.535256,15.906918,normal
5,4227,7.372644,26.714499,normal
17,8362,0.019156,34.980818,normal
62,74609,0.027912,30.090956,normal
9,9581,0.520976,11.594869,normal
2,487,0.000104,0.000104,normal
2,780,1.675491,1.675491,normal
2,1420,0.001834,0.001834,normal
31,38636,0.008897,41.835122,normal
4,2796,0.044155,14.764595,normal
7,1424,0.11305,0.418323,normal
4,3396,0.013639,0.123046,normal
5,1343,0.353979,0.724458,normal
10,10130,0.24978,27.70401,normal
2,732,1.184417,1.184417,normal
6,1677,0.100407,2.849787,normal
9,6147,0.00824,0.278814,normal
18,7663,0.038249,1.318817,normal
2,378,0.060158,0.060158,normal
5,1857,2.106173,5.026447,normal
4,3227,1.010227,30.740074,normal
4,1363,0.150048,21.4779,normal
5,1596,0.059901,10.711882,normal
3,1067,1.595847,1.76091,normal
25,10339,0.082818,29.657448,normal
17,9902,0.021441,1.148839,normal
9,6488,0.359829,19.056482,normal
16,5180,0.666761,35.043913,normal
7,941,0.824371,3.743236,normal
2,4,21.323101,21.323101,normal
3,6,20.236468,40.466218,normal
4,182,5.044919,20.258045,normal
3,552,2.1842,3.354146,normal
3,931,21.836102,28.906001,normal
8,3292,0.539878,4.090129,normal
11,5160,0.4995,19.930251,normal
7,4705,1.539965,14.647275,normal
2,2267,2.080656,2.080656,normal
7,3205,0.214639,2.15461,normal
2,2,45.269299,45.269299,normal
5,4585,1.611797,32.873168,normal
4,2794,0.275631,6.972467,normal
2,678,0.505421,0.505421,normal
4,4577,0.000127,1.620945,normal
65,35698,0.494024,46.478314,normal
5,2746,0.787271,3.137487,normal
6,3166,2.986808,15.721958,normal
18,19323,0.001145,42.37038,normal
8,8298,4.032873,33.884423,normal
2,2206,19.664917,19.664917,normal
2,2216,19.893145,19.893145,normal
3,3370,21.143335,28.394756,normal
3,3454,27.093594,28.249752,normal
3,3664,9.557983,19.050921,normal
2,2189,13.490944,13.490944,normal
4,4496,14.24206,46.325296,normal
3,3681,30.185503,33.757837,normal
3,3622,32.729491,41.2234,normal
3,1387,0.312294,0.622258,normal
8,9342,5.530144,36.245611,normal
3,3612,27.269865,35.946011,normal
4,4453,7.662116,25.66193,normal
2,2263,19.280515,19.280515,normal
2,2260,25.344512,25.344512,normal
6,2023,5.3E-05,0.743157,normal
2,933,0.545685,0.545685,normal
4,164,6.026971,18.091835,normal
3,851,0.359875,0.699911,normal
3,776,0.28979,0.349853,normal
4,893,0.001167,0.271962,normal
2,1546,4.4E-05,4.4E-05,normal
4,877,0.040028,1.1381,normal
6,2258,0.288099,1.178052,normal
4,1624,0.298183,0.682387,normal
4,1160,0.359767,0.79993,normal
2,1238,15.280791,15.280791,normal
4,1556,0.079847,0.459876,normal
32,1316,1.550924,47.572054,normal
2,1350,0.670993,0.670993,normal
3,1011,0.399406,0.64852,normal
2,1630,15.451749,15.451749,normal
3,1011,0.313959,0.615995,normal
3,820,0.531897,0.940846,normal
4,1195,0.289449,0.879631,normal
3,1011,0.447816,0.725877,normal
2,136,0.95953,0.95953,normal
3,312,3.025597,6.044539,normal
8,3564,0.265079,1.950894,normal
9,909,3.272009,27.599661,normal
4,3702,4.914216,30.633993,normal
3,1027,0.466633,0.799734,normal
2,1499,0.831539,0.831539,normal
7,4412,0.358898,2.617836,normal
3,1148,0.309817,0.339753,normal
4,877,0.010356,0.289607,normal
6,606,3.339335,15.640142,normal
3,3103,2.079878,3.039345,normal
