No. of pkts,No. of Bytes,Iat,Duration,Label
3,1829,9.670992,13.070997,normal
4,1128,0.220012,0.647883,normal
3,1011,2.180217,2.440224,normal
3,1011,0.304009,0.520028,normal
8,2000,0.462001,13.163018,normal
3,3048,20.308022,34.617886,normal
2,2259,8.721727,8.721727,normal
3,1875,1.758642,3.176768,normal
5,4737,9.706779,38.282431,normal
7,3427,0.001962,0.450997,normal
3,1011,0.240002,0.460104,normal
5,2056,0.281605,0.832295,normal
3,1552,0.308225,0.508193,normal
7,6598,6.798072,44.433045,normal
6,926,0.253892,1.039959,normal
7,3602,0.321806,1.390158,normal
2,1287,14.650326,14.650326,normal
4,1256,0.244081,0.528016,normal
2,338,0.000705,0.000705,normal
5,1434,0.699873,8.544052,normal
2,1874,18.300502,18.300502,normal
11,10985,4.073003,39.600019,normal
3,1011,0.278851,0.519974,normal
6,1158,0.200152,3.259807,normal
3,3122,27.088117,37.807971,normal
3,1535,33.940011,42.852077,normal
11,10940,2.371941,36.727135,normal
4,2240,0.320376,0.888817,normal
3,3052,14.68779,17.118642,normal
2,914,0.390038,0.390038,normal
3,3316,11.095044,13.704193,normal
4,2563,7.818313,28.458971,normal
4,1144,0.220322,1.18036,normal
2,1768,2.550012,2.550012,normal
4,1399,0.285372,0.858549,normal
2,1175,4.758862,4.758862,normal
3,1449,0.261118,0.482256,normal
7,7239,6.137044,38.5158,normal
3,2927,7.009533,11.329673,normal
7,2188,0.381046,2.829229,normal
2,1277,6.620048,6.620048,normal
3,1011,0.240966,0.481011,normal
3,1915,0.186788,0.361301,normal
3,2962,5.596938,10.394968,normal
8,8672,0.746225,15.590969,normal
6,6084,8.418011,38.980004,normal
5,5081,10.053076,32.33995,normal
2,1929,21.631085,21.631085,normal
2,1974,18.701027,18.701027,normal
2,2081,18.199998,18.199998,normal
4,1135,0.000178,0.367198,normal
2,1952,3.024027,3.024027,normal
5,1597,0.299966,0.950631,normal
4,4098,5.595482,20.848784,normal
5,3898,4.840989,19.52918,normal
4,2066,0.179926,0.407318,normal
7,1117,0.19968,2.777819,normal
7,6621,4.960021,31.580927,normal
3,1011,0.299813,0.519986,normal
4,3641,10.310974,45.831009,normal
7,2103,0.191999,29.072238,normal
7,4018,0.219928,1.050939,normal
6,1108,0.391126,3.095072,normal
2,1994,6.575997,6.575997,normal
13,11797,0.029265,22.586649,normal
3,1011,0.340015,0.660095,normal
4,1400,0.291026,0.611059,normal
5,3697,2.319967,6.049155,normal
6,6131,1.948938,16.367906,normal
3,1459,0.337278,0.575081,normal
3,1455,26.19055,30.605179,normal
3,1755,0.382758,0.382759,normal
5,4462,0.188821,0.457264,normal
2,1996,40.995061,40.995061,normal
2,498,25.416828,25.416828,normal
8,4978,0.009216,3.109183,normal
2,2181,34.826815,34.826815,normal
5,2846,3.963506,19.33474,normal
3,1652,24.673314,36.409594,normal
5,3718,0.226941,1.002282,normal
10,9776,2.16414,32.963945,normal
13,10611,0.269894,31.149137,normal
5,3344,0.287799,5.516945,normal
5,1469,0.188959,0.570157,normal
10,5076,0.03877,1.513097,normal
6,3042,0.219008,0.855142,normal
4,5265,0.001079,0.010047,normal
8,8713,2.491104,26.95358,normal
2,708,1.470054,1.470054,normal
2,2247,4.311023,4.311023,normal
3,2900,5.867118,8.68497,normal
7,3346,0.220976,3.849971,normal
7,7252,7.013023,44.106766,normal
4,832,0.007979,0.690354,normal
6,1448,0.258954,1.871987,normal
6,5963,6.11286,41.598959,normal
6,6163,2.926924,22.630143,normal
2,2130,28.125964,28.125964,normal
3,1011,0.32206,0.589036,normal
8,4108,0.36053,2.349938,normal
4,3929,3.009047,11.800022,normal
5,4770,10.4799,35.808073,normal
3,1554,0.219953,0.400108,normal
4,3208,6.201564,17.87953,normal
4,2644,0.271072,3.511138,normal
6,3074,0.209007,0.729238,normal
6,3490,0.262993,2.325148,normal
3,1368,0.001788,0.003338,normal
2,2140,28.762164,28.762164,normal
5,3596,0.203071,0.468213,normal
7,6782,3.748028,21.941902,normal
7,6860,3.532063,34.07703,normal
8,3356,0.224204,1.804977,normal
4,2088,12.622797,32.105637,normal
3,2685,13.86822,14.040035,normal
3,1011,0.340031,0.619089,normal
2,1894,10.882849,10.882849,normal
3,2939,5.857348,10.177222,normal
2,1247,37.198092,37.198092,normal
3,1478,0.228207,0.428185,normal
3,1667,0.249192,0.42916,normal
2,2026,22.90006,22.90006,normal
3,1413,0.194014,0.369127,normal
3,1701,0.237067,0.238648,normal
5,4873,2.240159,20.172123,normal
2,1917,2.148147,2.148147,normal
7,3618,0.280033,3.440047,normal
3,1483,0.548183,0.770113,normal
6,2674,0.240033,1.160023,normal
2,2003,15.552881,15.552881,normal
4,2235,2.589862,40.855334,normal
4,918,0.009193,0.258918,normal
7,7097,2.518889,37.270896,normal
2,528,0.232016,0.232016,normal
5,4015,0.377062,40.796302,normal
10,5021,0.064024,1.500353,normal
3,1619,0.198975,0.384218,normal
3,1011,0.304045,0.560106,normal
2,1162,0.612951,0.612951,normal
3,1534,0.919863,1.339837,normal
4,1160,0.234963,0.804221,normal
3,3978,15.312003,15.320042,normal
9,2245,0.24803,28.525208,normal
3,3322,8.187662,14.454027,normal
6,2267,0.015676,0.395869,normal
3,1011,0.36714,0.600169,normal
6,3704,0.196784,28.89476,normal
2,2242,15.840914,15.840914,normal
3,3001,21.121763,29.077885,normal
12,3531,0.010189,20.034468,normal
5,2995,0.200245,8.259326,normal
5,1596,0.209197,0.635496,normal
14,9351,0.192771,40.910809,normal
3,1588,0.219489,0.219491,normal
3,620,0.260035,0.460067,normal
5,1056,0.180068,0.360239,normal
5,5622,8.186032,29.709942,normal
6,3297,0.23193,1.039677,normal
3,2571,4.131991,5.720276,normal
3,1011,0.260071,0.520121,normal
3,1512,0.249224,0.438175,normal
2,1985,23.609973,23.609973,normal
2,633,0.260737,0.260737,normal
8,5474,0.202365,15.939988,normal
30,17935,0.199947,17.983574,normal
3,1593,0.268126,0.481286,normal
7,2884,0.239947,18.035984,normal
2,2141,17.989605,17.989605,normal
2,2014,8.680003,8.680003,normal
4,1832,0.260012,0.528279,normal
3,1043,0.300103,0.540063,normal
3,2881,14.526033,21.569774,normal
2,1088,3.925074,3.925074,normal
2,1121,0.938055,0.938055,normal
5,1540,0.180254,0.41313,normal
4,1160,0.239979,0.516032,normal
3,1566,0.235225,0.4482,normal
7,3410,0.220026,0.979841,normal
8,3260,0.211199,2.059099,normal
3,1222,0.240299,0.453202,normal
6,2487,0.014975,0.470974,normal
2,510,0.392028,0.392028,normal
8,7826,2.750997,32.381008,normal
5,1100,0.240074,0.460129,normal
7,3300,0.004046,0.482367,normal
6,2255,0.185128,0.39402,normal
6,2720,0.229066,0.924964,normal
10,1661,0.199926,2.376708,normal
4,4359,6.396074,30.923037,normal
3,1011,0.94006,1.18003,normal
12,3586,0.218939,43.386318,normal
4,1224,0.241963,0.549235,normal
6,3145,0.17974,0.667977,normal
3,1011,2.149749,3.959925,normal
8,3196,0.225938,1.226113,normal
2,1234,0.030391,0.030391,normal
2,2002,10.561976,10.561976,normal
7,3618,0.440076,2.939152,normal
4,1112,0.276038,0.698166,normal
3,2914,25.698953,36.074988,normal
2,2134,6.511998,6.511998,normal
2,1789,28.27008,28.27008,normal
2,1659,10.480027,10.480027,normal
4,2764,2.689987,9.189954,normal
2,1338,5.248043,5.248043,normal
10,2698,0.410036,34.168003,normal
2,1278,22.700147,22.700147,normal
4,1086,0.292063,8.749953,normal
4,1012,0.280027,0.78997,normal
2,1060,8.47713,8.47713,normal
4,1112,0.248045,0.55207,normal
4,3695,16.41397,43.342789,normal
4,1112,1.10027,3.450046,normal
4,3261,0.049728,34.975764,normal
6,2754,0.319987,1.272072,normal
5,4320,0.400004,1.631879,normal
4,4317,8.400045,21.519936,normal
5,1357,0.370036,11.360191,normal
3,1128,0.369496,0.669866,normal
4,1721,0.530178,1.538155,normal
4,80,0.450715,8.770794,normal
6,958,0.251878,1.232086,normal
3,648,2.589361,4.655989,normal
2,958,2.420291,2.420291,normal
3,1011,1.840921,2.120151,normal
4,1416,0.279795,0.581933,normal
5,2998,0.268969,1.796093,normal
3,1165,1.227061,1.228987,normal
4,1240,0.380206,1.109684,normal
5,4320,10.032155,21.502236,normal
12,8797,0.009612,41.299647,normal
3,1832,0.680594,1.130646,normal
2,1484,7.210147,7.210147,normal
5,1165,0.290026,15.60394,normal
2,1248,11.965466,11.965466,normal
2,1432,1.340007,1.340007,normal
4,1085,0.007103,0.047977,normal
2,1976,4.980061,4.980061,normal
2,1270,3.077458,3.077458,normal
5,2922,0.200034,22.827167,normal
4,4790,14.144086,32.55488,normal
2,1908,14.487817,14.487817,normal
4,893,0.001148,1.368863,normal
5,1154,0.199963,8.054934,normal
26,28894,0.002865,0.487432,normal
8,1582,0.058332,1.002566,normal
3,1664,0.239678,0.46878,normal
5,4376,9.067186,29.749778,normal
4,2338,2.81515,13.130618,normal
3,1529,0.222066,0.423452,normal
5,1197,0.239381,0.698679,normal
3,1011,0.259914,0.460034,normal
2,2242,17.374034,17.374034,normal
5,7018,0.002067,0.008785,normal
3,1605,2E-06,2E-06,normal
7,1934,0.18914,10.510532,normal
2,1993,10.584106,10.584106,normal
3,2977,7.481707,10.495717,normal
2,1278,0.981074,0.981074,normal
7,3537,0.019973,0.415228,normal
2,1451,2E-06,2E-06,normal
7,6209,0.00121,45.882017,normal
6,2978,0.16936,0.568696,normal
3,1588,0.250119,0.490262,normal
4,1160,0.27989,1.45996,normal
2,2004,12.855607,12.855607,normal
6,3762,0.360486,3.484378,normal
4,3249,0.208286,0.483373,normal
3,995,0.57976,0.99995,normal
5,1028,0.213997,0.457882,normal
2,1744,1E-06,1E-06,normal
175,237832,0.002072,13.335257,normal
2,2248,7.262676,7.262676,normal
7,6608,4.803858,34.378972,normal
6,264,0.099909,0.951808,normal
2,1977,7.86656,7.86656,normal
4,1128,0.240071,0.528152,normal
3,1647,0.206055,0.40802,normal
4,3125,0.20009,0.407418,normal
6,5732,4.875895,19.235088,normal
2,2260,14.740068,14.740068,normal
8,3788,0.17974,10.049896,normal
9,4108,0.222038,1.060378,normal
4,1144,0.333996,0.696102,normal
4,875,0.000169,0.200176,normal
2,2153,8.860211,8.860211,normal
3,3404,29.600118,38.61248,normal
3,1396,0.279086,0.528962,normal
2,2565,0.004138,0.004138,normal
2,949,1.300268,1.300268,normal
9,4604,0.27185,3.166922,normal
10,4417,0.188876,5.208839,normal
5,1557,0.231195,0.488182,normal
5,867,0.25693,0.562,normal
2,1217,8.534772,8.534772,normal
4,1112,0.260209,0.686017,normal
5,4359,0.256417,0.594969,normal
12,9607,0.233229,28.535628,normal
4,3384,1.348019,30.211897,normal
2,1086,2.048049,2.048049,normal
7,3826,0.216934,1.07614,normal
3,1011,0.28001,0.540076,normal
2,1746,6.510117,6.510117,normal
5,3490,0.402127,2.411142,normal
4,3272,0.002849,2.132876,normal
3,3216,9.199982,12.104082,normal
3,1059,0.330152,0.640152,normal
5,3638,0.32016,1.535694,normal
5,2173,0.242442,0.727089,normal
5,1664,0.189046,0.389947,normal
3,1011,0.240088,0.440132,normal
3,3026,36.758046,43.895924,normal
7,3413,0.189138,0.388125,normal
4,3519,8.547072,29.608075,normal
2,1969,3.760835,3.760835,normal
3,3296,23.223196,33.755144,normal
2,915,16.927997,16.927997,normal
6,6383,6.205114,42.750041,normal
3,1154,0.009359,0.015488,normal
3,1550,0.212278,0.420295,normal
6,2658,0.219907,0.940083,normal
8,4937,0.001028,0.44157,normal
6,5592,2.239955,13.093177,normal
11,5973,1.559748,24.740794,normal
7,4050,0.399966,1.41828,normal
4,1307,0.017222,0.292185,normal
4,893,0.00898,0.236047,normal
2,1671,12.550006,12.550006,normal
3,1011,0.320067,0.579995,normal
6,5270,2.7E-05,0.179339,normal
8,7919,3.195935,32.574876,normal
2,604,0.190834,0.190834,normal
2,40,3.121922,3.121922,normal
3,261,17.104152,22.743196,normal
2,2,1.587633,1.587633,normal
4,816,0.495265,1.427816,normal
41,863,0.812738,47.26488,normal
84,1258,0.42251,48.155626,normal
25,712,0.235501,20.946844,normal
7,1876,7.098068,38.984479,normal
2,1178,7.173496,7.173496,normal
3,629,10.206585,20.405247,normal
12,12600,0.207837,15.956205,normal
2,2,45.249051,45.249051,normal
4,1224,0.395896,0.923237,normal
4,272,6E-06,8E-06,normal
2,40,29.451141,29.451141,normal
2,202,19.708662,19.708662,normal
2,1705,24.59293,24.59293,normal
14,728,2.098909,46.899024,normal
4,404,2.956812,17.089378,normal
3,94,1.014655,1.331037,normal
19,2099,0.479887,17.845519,normal
3,1470,7.397817,7.59368,normal
4,1309,0.209271,0.633006,normal
2,611,10.00123,10.00123,normal
2,529,0.723974,0.723974,normal
2,633,0.214554,0.214554,normal
3,303,1.812524,3.047043,normal
2,604,12.44661,12.44661,normal
2,1077,3.440475,3.440475,normal
2,1479,5.6E-05,5.6E-05,normal
3,1600,0.225658,0.226864,normal
4,404,5.763314,34.469849,normal
2,982,15.603693,15.603693,normal
3,1575,0.242529,0.244115,normal
3,744,0.408274,0.645339,normal
2,632,0.729994,0.729994,normal
4,412,1.001847,4.683583,normal
3,60,0.216994,0.217244,normal
4,1216,5.041005,15.09717,normal
4,2407,0.936422,30.365959,normal
7,721,7.570609,42.26838,normal
4,2634,0.224861,2.637233,normal
4,435,19.469188,45.255149,normal
28,498,1.323803,42.374544,normal
4,84,0.156169,2.991561,normal
3,60,6.151544,9.602029,normal
2,211,0.511631,0.511631,normal
3,614,1.015657,2.022987,normal
3,60,1.012349,1.012479,normal
5,150,0.207747,3.582065,normal
4,3639,15.070701,34.180329,normal
3,1734,29.992542,44.516556,normal
8,6406,0.002754,2.470099,normal
9,909,0.998277,44.210469,normal
7,799,0.502175,2.609726,normal
7,769,1.482057,16.878513,normal
3,206,1.147017,1.4231,normal
4,474,2.605306,11.340692,normal
2,594,0.437047,0.437047,normal
2,202,6.047243,6.047243,normal
2,202,33.877799,33.877799,normal
3,303,11.906231,19.595222,normal
7,3125,0.406528,2.815057,normal
4,3697,0.634932,5.8378,normal
6,5513,0.000406,27.721667,normal
3,60,6.212339,9.291002,normal
2,212,3.635474,3.635474,normal
3,303,10.577041,11.386992,normal
3,70,0.244229,0.402828,normal
2,118,0.245258,0.245258,normal
2,991,45.233831,45.233831,normal
3,303,19.091304,20.13134,normal
2,604,13.326744,13.326744,normal
4,4,10.259961,30.678798,normal
2,202,0.801145,0.801145,normal
2,359,11.661822,11.661822,normal
2,270,0.654421,0.654421,normal
7,3969,0.248091,28.241419,normal
4,148,0.227982,0.458511,normal
3,196,1.297767,1.532817,normal
93,3152,0.02525,2.303548,normal
2,604,0.231201,0.231201,normal
13,8392,0.036225,0.899578,normal
174,232622,0.000505,38.297944,normal
3,1604,0.258939,0.268284,normal
3,1634,0.268105,0.283462,normal
16,736,3.023206,45.240213,normal
4,2254,0.241736,3.577097,normal
7,6832,5.848487,35.89243,normal
3,399,43.434602,43.524486,normal
9,1528,0.399102,8.437058,normal
3,74,12.579968,12.849969,normal
3,303,2.075319,3.56275,normal
3,60,0.224377,0.229892,normal
3,90,6.421661,9.552048,normal
2,40,24.25365,24.25365,normal
2,40,29.316183,29.316183,normal
2,1672,14.061779,14.061779,normal
36,2595,0.395949,34.296995,normal
3,1378,0.239624,0.245082,normal
4,90,2.669232,8.633927,normal
4,90,2.523923,8.803435,normal
2,1304,18.824465,18.824465,normal
3,303,28.577916,31.855307,normal
8,808,3.984798,38.210605,normal
99,10863,0.213856,48.090354,normal
6,1440,7.000501,41.812706,normal
6,336,0.70179,4.627084,normal
2,60,3.002298,3.002298,normal
6,1252,0.151166,3.700103,normal
2,60,2.998385,2.998385,normal
3,90,6.334426,9.518807,normal
3,1400,0.471171,0.471706,normal
6,2493,0.208213,1.811185,normal
3,1464,0.227836,0.443705,normal
5,5,10.212376,40.834921,normal
3,571,0.395236,0.630448,normal
2,2,0.039093,0.039093,normal
2,944,2.456683,2.456683,normal
2,1176,45.237907,45.237907,normal
25,2525,1.32507,43.009895,normal
3,893,0.501437,1.000922,normal
7,707,3.296343,37.229951,normal
2,202,16.09246,16.09246,normal
2,202,1.12582,1.12582,normal
2,322,10.528656,10.528656,normal
5,1335,0.235003,0.575325,normal
3,69,20.024749,39.981806,normal
5,505,8.465605,26.337191,normal
4,877,0.007004,0.309295,normal
4,807,0.000588,0.680046,normal
3,60,6.059677,9.467489,normal
3,318,1.014919,1.384489,normal
3,60,5.997874,9.453143,normal
7,326,0.437752,2.555777,normal
2,1198,27.030709,27.030709,normal
2,271,17.623938,17.623938,normal
4,712,0.691118,2.167873,normal
3,60,5.991954,9.397047,normal
9,4395,0.098854,0.621352,normal
2,60,3.312929,3.312929,normal
2,289,0.22571,0.22571,normal
2,134,20.999624,20.999624,normal
6,420,0.500261,4.498833,normal
8,976,3.657451,46.353678,normal
3,60,6.161348,9.537422,normal
6,180,2.903123,9.11558,normal
3,1321,0.20441,0.404606,normal
3,625,1.187587,1.409342,normal
4,2226,0.219262,0.82404,normal
2,170,3.190091,3.190091,normal
99,2236,0.266731,48.079881,normal
2,124,0.033473,0.033473,normal
6,5951,0.44157,1.952313,normal
8,4220,0.279933,1.264322,normal
3,1562,0.224191,0.224989,normal
137,4070,0.096024,45.907648,normal
3,435,0.308783,0.601024,normal
2,1635,23.669484,23.669484,normal
2,432,4.410488,4.410488,normal
3,27,9.51842,12.07863,normal
4,206,0.205208,0.461835,normal
3,70,19.692052,20.043046,normal
6,130,3.224501,21.922482,normal
3,1011,0.304986,0.588422,normal
16,1590,0.097,1.654607,normal
7,3451,8.002419,43.089776,normal
3,60,6.124474,9.161212,normal
2,40,29.303727,29.303727,normal
4,158,0.24082,0.481015,normal
3,90,6.105279,9.598145,normal
3,70,0.95601,1.248724,normal
8,6949,0.014609,11.06705,normal
10,4920,0.58804,40.296886,normal
6,480,0.782845,6.476784,normal
2,50,1.219391,1.219391,normal
2,50,0.294403,0.294403,normal
2,580,0.223241,0.223241,normal
6,1298,0.206192,5.310714,normal
5,601,4.83663,16.193501,normal
4,404,6.665354,30.450793,normal
5,505,8.579878,35.271968,normal
674,20364,0.049593,47.530267,normal
2,1713,12.239538,12.239538,normal
4,452,8.43032,35.993183,normal
3,1390,0.317703,0.336963,normal
3,1033,0.28397,0.534081,normal
2,205,0.325019,0.325019,normal
3,231,0.538065,1.052691,normal
2,536,4.024631,4.024631,normal
3,903,0.246856,0.453829,normal
72,18247,0.260763,43.215832,normal
4,80,12.22068,42.521106,normal
3,186,0.001932,0.003754,normal
4,404,7.638843,33.683462,normal
7,707,4.328794,33.008415,normal
3,811,0.208553,0.212867,normal
4,248,0.000239,0.795762,normal
3,186,0.001754,0.002963,normal
2,1442,0.001125,0.001125,normal
3,934,0.214082,0.233536,normal
2,296,30.996072,30.996072,normal
3,937,0.248881,0.489416,normal
16,720,3.021263,45.310274,normal
2,50,0.241796,0.241796,normal
8,495,7.971033,47.24953,normal
4,2078,0.001154,0.232654,normal
4,1446,0.927434,43.813641,normal
6,829,0.004855,0.933172,normal
7,1610,0.228858,1.061675,normal
3,379,3.542984,3.882086,normal
2,2286,26.882195,26.882195,normal
2,608,23.997522,23.997522,normal
2,542,0.559137,0.559137,normal
3,322,10.503912,20.765733,normal
4,893,0.015012,0.574326,normal
7,4298,0.126803,2.25169,normal
2,1395,0.002277,0.002277,normal
3,1607,0.261049,0.280369,normal
2,1400,0.001584,0.001584,normal
4,240,0.466921,29.698217,normal
4,893,0.018106,1.792767,normal
2,1375,0.001988,0.001988,normal
2,124,0.518351,0.518351,normal
2,1375,0.002232,0.002232,normal
3,1780,0.372809,0.372811,normal
2,633,0.271234,0.271234,normal
2,1612,0.048403,0.048403,normal
3,495,0.351995,0.661185,normal
3,897,27.727198,27.978987,normal
2,598,5.964634,5.964634,normal
2,598,1.962304,1.962304,normal
3,60,0.274074,0.274601,normal
2,849,15.76298,15.76298,normal
4,4408,0.00039,10.744432,normal
3,1606,0.240275,0.241762,normal
8,762,0.440592,1.341658,normal
2,202,0.812799,0.812799,normal
2,40,3.214885,3.214885,normal
14,7322,2.82935,44.624717,normal
2,944,0.000343,0.000343,normal
58,16014,0.007165,6.420383,normal
2,2,45.21156,45.21156,normal
2,84,1.004731,1.004731,normal
18,1260,0.003303,4.50192,normal
3,580,1.046767,1.569781,normal
3,309,8.974594,15.970158,normal
2,960,1.574189,1.574189,normal
2,409,0.219521,0.219521,normal
2,202,4.862865,4.862865,normal
3,166,0.261527,0.517149,normal
3,1477,0.236021,0.468011,normal
3,60,0.363403,0.363403,normal
16,730,3.03804,45.542286,normal
3,1011,0.301178,0.55091,normal
3,1167,0.208426,0.208762,normal
3,1863,34.303442,34.678428,normal
4,935,10.217411,30.64815,normal
2,243,19.986202,19.986202,normal
6,32,10.22307,43.982654,normal
2,1450,45.212949,45.212949,normal
2,2,45.169272,45.169272,normal
2,611,0.956179,0.956179,normal
7,3465,3.484192,32.730002,normal
5,236,1.404399,3.647978,normal
2,113,9.01757,9.01757,normal
21,1646,0.478611,42.05984,normal
2,1041,7.114532,7.114532,normal
6,312,1.203575,9.319084,normal
3,721,0.768943,1.04927,normal
2,1114,11.992172,11.992172,normal
20,5683,1.078545,47.865995,normal
13,3692,0.744418,15.730074,normal
2,389,21.388469,21.388469,normal
2,2,45.199915,45.199915,normal
3,138,0.232041,0.462249,normal
2,1737,6.5E-05,6.5E-05,normal
2,108,0.244218,0.244218,normal
7,840,0.239859,15.841552,normal
2,1904,0.24289,0.24289,normal
2,196,5.615444,5.615444,normal
4,90,3.282377,9.619834,normal
8,5936,0.024551,21.893442,normal
2,60,6.230783,6.230783,normal
22,1547,0.009769,28.993182,normal
2,202,25.616631,25.616631,normal
2,409,0.792244,0.792244,normal
2,138,0.70204,0.70204,normal
2,40,0.000227,0.000227,normal
2,4,23.321049,23.321049,normal
629,459341,0.000215,48.171304,normal
4,1320,0.012328,1.210582,normal
5,1250,0.210296,0.42904,normal
3,138,0.491011,0.797247,normal
2,598,10.9941,10.9941,normal
30,1638,1.6275,47.304668,normal
8,808,0.921691,12.098615,normal
2,60,44.844803,44.844803,normal
2,1751,0.000156,0.000156,normal
16,464,1.804733,45.77677,normal
5,914,0.302722,0.624763,normal
2,679,0.459573,0.459573,normal
3,90,6.494036,9.894056,normal
2,890,15.953336,15.953336,normal
2,60,3.02455,3.02455,normal
2,209,20.017861,20.017861,normal
4,90,0.361602,1.365855,normal
2,2,21.496097,21.496097,normal
2,40,24.380846,24.380846,normal
6,120,3.084522,21.387635,normal
3,303,20.62817,34.626291,normal
12,840,0.009851,4.504583,normal
6,6394,3.923509,20.004328,normal
5,2946,0.242396,6.359993,normal
4,2634,0.697781,1.534083,normal
120,32307,0.291249,46.727676,normal
7,941,0.239452,0.721293,normal
11,5153,0.221535,14.463183,normal
10,3160,1.535479,28.3962,normal
3,60,6.157381,9.277317,normal
2,202,34.609685,34.609685,normal
2,202,1.556489,1.556489,normal
2,719,0.024977,0.024977,normal
3,768,0.516147,1.016355,normal
241,3748,0.092105,48.016525,normal
2,1584,1E-06,1E-06,normal
3,897,4.20488,7.108191,normal
6,1587,0.206138,34.950284,normal
18,186,3.011281,45.431691,normal
4,2062,0.215359,0.521486,normal
2,202,30.947602,30.947602,normal
4,1127,0.270573,6.528137,normal
6,744,4.263197,25.133856,normal
3,73,19.548238,29.375092,normal
2,276,7.009974,7.009974,normal
20,2116,0.883921,46.863335,normal
4,2400,8.063115,32.963675,normal
4,248,0.002796,0.00616,normal
2,2348,19.52153,19.52153,normal
3,90,6.438761,9.714336,normal
5,1544,0.206394,0.426746,normal
2,264,10.718399,10.718399,normal
3,1504,0.376775,0.589072,normal
2,202,10.141916,10.141916,normal
2,202,2.048041,2.048041,normal
6,5124,0.234568,1.445636,normal
2,1710,0.211729,0.211729,normal
2,202,26.375798,26.375798,normal
4,1341,0.040513,0.907919,normal
2,1041,14.922343,14.922343,normal
2,989,15.225659,15.225659,normal
4,736,0.001775,1.228556,normal
9,782,0.005762,1.780249,normal
3,90,6.212088,9.378128,normal
4,2400,0.250218,7.453976,normal
2,2072,16.891137,16.891137,normal
3,1640,0.910351,0.911066,normal
3,930,22.606581,24.526216,normal
2,202,1.558764,1.558764,normal
3,318,0.000359,0.000477,normal
6,872,3.695064,46.128462,normal
2,1744,4.518101,4.518101,normal
10,1010,3.761334,47.035809,normal
2,148,0.229481,0.229481,normal
5,972,7.918949,34.741786,normal
3,520,22.721878,23.325665,normal
6,120,3.374141,21.678252,normal
3,70,0.019567,0.019573,normal
2,60,3.026996,3.026996,normal
2,136,1.01206,1.01206,normal
4,3033,0.199981,0.419257,normal
4,1128,0.231248,0.623746,normal
3,1011,0.474865,0.763153,normal
3,303,2.156529,2.809816,normal
3,1014,4.534374,6.994263,normal
4,148,0.288886,0.637925,normal
5,215,0.233969,14.480119,normal
2,202,9.377601,9.377601,normal
2,60,3.125112,3.125112,normal
16,1328,0.230767,36.412977,normal
2,1178,31.2573,31.2573,normal
3,60,24.04697,36.062419,normal
3,1011,0.71942,1.209568,normal
3,414,11.931326,17.979375,normal
3,772,1.504771,2.508852,normal
10,6374,0.260889,20.705274,normal
2,60,3.020701,3.020701,normal
2,185,17.771595,17.771595,normal
6,150,2.977951,22.323343,normal
2,377,1.92942,1.92942,normal
4,272,11.46449,34.51909,normal
3,90,4.407065,7.137856,normal
11,220,2.751192,37.030272,normal
20,1842,2.348813,44.938338,normal
2,60,3.123154,3.123154,normal
3,146,29.18891,29.467784,normal
2,264,21.698565,21.698565,normal
2,202,9.754522,9.754522,normal
2,124,0.810647,0.810647,normal
2,874,0.757028,0.757028,normal
2,276,16.351058,16.351058,normal
3,60,5.023604,5.023613,normal
2,166,22.060791,22.060791,normal
3,1011,0.610324,0.975958,normal
4,500,0.293377,1.510175,normal
4,916,0.354003,0.718146,normal
2,1440,1.569149,1.569149,normal
114,94130,0.000636,32.972011,normal
3,2817,27.23846,29.77424,normal
2,2,0.112172,0.112172,normal
7,2009,7.001095,41.992134,normal
6,130,3.287946,21.390578,normal
4,2274,0.247068,3.566427,normal
3,60,0.381354,0.381762,normal
2,202,2.372295,2.372295,normal
7,828,0.205114,0.747787,normal
3,867,7.959615,8.588226,normal
2,202,0.810398,0.810398,normal
12,12,2.70947,45.199291,normal
3,3,10.431687,15.522543,normal
2,2,18.370445,18.370445,normal
13,13,2.195903,31.363111,normal
2,60,3.20013,3.20013,normal
20,198,1.878802,43.391639,normal
3,108,27.044877,29.954967,normal
3,2842,10.997716,14.809591,normal
4,628,0.216841,0.876587,normal
3,90,6.305269,9.505745,normal
8,6598,0.228007,3.039087,normal
3,1291,0.232541,0.232951,normal
13,8230,0.548928,23.274408,normal
5,598,10.208005,38.218491,normal
280,368745,0.000138,28.264615,normal
3,426,0.500448,0.865662,normal
2,2408,5.687234,5.687234,normal
2,2,0.189501,0.189501,normal
6,1278,6.3E-05,0.239166,normal
8,1327,0.001019,46.100873,normal
2,892,5.869758,5.869758,normal
3,540,0.017804,0.020501,normal
6,2212,0.226097,1.137298,normal
2,690,20.631338,20.631338,normal
2,343,11.829181,11.829181,normal
4,376,0.611232,4.133201,normal
9,1885,0.261954,25.348426,normal
13,3149,0.010635,25.603714,normal
8,1587,0.000115,1.239096,normal
2,828,9.247311,9.247311,normal
12,1988,0.404861,32.639879,normal
4,1880,0.260268,1.087831,normal
2,600,0.251997,0.251997,normal
4,1928,1.441673,5.040048,normal
11,1898,0.31758,15.942405,normal
8,1514,0.398647,21.411046,normal
2,1141,21.8748,21.8748,normal
2,563,0.267106,0.267106,normal
3,959,0.285291,0.559885,normal
3,1704,0.279896,0.538835,normal
2,573,0.229291,0.229291,normal
2,600,0.25477,0.25477,normal
2,1264,0.453716,0.453716,normal
